csv
Name,Rank,SA 1 Period,SA 1 Year,SA 5 Year,SA Since 1991
Vermont,1,2.47,13.44,77.23,325.99
West Virginia,2,8.81,12.26,51.41,227.77
Rhode Island,3,2.08,10.06,70.72,303.70
Delaware,4,0.41,9.96,58.73,232.20
New Jersey,5,1.19,9.87,68.03,298.65
New York,6,1.19,8.92,59.39,290.93
Wisconsin,7,0.76,8.12,61.81,330.15
Connecticut,8,1.04,8.09,64.06,183.66
Michigan,9,2.18,7.93,58.59,266.66
Illinois,10,1.02,7.92,48.37,199.02
Kansas,11,0.64,7.55,57.60,289.69
Nevada,12,1.13,7.54,54.00,314.64
New Hampshire,13,1.27,7.40,73.58,348.77
Ohio,14,1.70,7.30,61.13,230.38
Massachusetts,15,1.14,7.29,56.18,351.81
Pennsylvania,16,1.49,7.24,54.06,252.06
South Carolina,17,0.88,7.24,72.04,329.32
Virginia,18,2.09,7.19,55.92,305.96
New Mexico,19,1.13,6.64,60.38,299.31
Nebraska,20,1.36,6.56,55.33,319.81
Missouri,21,1.08,6.39,60.33,285.38
Georgia,22,1.30,6.27,70.60,318.50
Maine,23,0.46,6.26,80.48,365.98
Kentucky,24,1.72,6.03,55.34,280.75
Iowa,25,1.53,5.98,46.23,260.57
District of Columbia,26,4.32,5.87,22.02,538.08
Indiana,27,0.81,5.86,61.40,248.00
Alabama,28,2.19,5.85,59.88,259.26
North Carolina,29,1.42,5.77,74.72,331.36
Tennessee,30,0.51,5.69,72.78,367.89
Wyoming,31,1.64,5.49,49.64,425.47
Hawaii,32,0.48,5.12,58.53,305.49
Arizona,33,0.80,5.10,72.69,466.30
Washington,34,0.63,4.95,56.44,478.32
Arkansas,35,0.93,4.76,58.71,253.80
Florida,36,0.28,4.76,79.25,460.13
Alaska,37,0.96,4.38,38.40,265.10
Oklahoma,38,0.48,4.16,54.40,272.31
California,39,-0.24,4.10,47.67,319.65
Mississippi,40,2.68,3.88,48.48,210.62
Maryland,41,0.25,3.86,43.36,255.97
Montana,42,0.61,3.85,73.85,605.77
Utah,43,0.01,3.81,65.33,604.48
Colorado,44,0.75,3.57,48.89,592.54
North Dakota,45,0.86,3.43,30.91,317.84
South Dakota,46,0.11,3.39,56.52,380.09
Minnesota,47,0.02,2.87,41.31,311.54
Texas,48,0.18,2.59,52.37,344.58
Oregon,49,-0.28,2.44,45.57,524.56
Louisiana,50,0.83,1.25,29.24,261.80
Idaho,51,-2.98,1.07,73.07,509.99
