CoC Number,CoC Name,2019,2020,2021,2022,2023
AK-500,Anchorage CoC,1111,1058,1319,1494,1760
AK-501,Alaska Balance of State CoC,796,891,630,826,854
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",981,848,875,943,847
AL-501,Mobile City & County/Baldwin County CoC,505,631,219,585,670
AL-502,Florence/Northwest Alabama CoC,390,215,183,232,195
AL-503,Huntsville/North Alabama CoC,464,561,300,549,646
AL-504,Montgomery City & County CoC,330,351,215,278,345
AL-505,Gadsden/Northeast Alabama CoC,224,280,537,190,236
AL-506,Tuscaloosa City & County CoC,44,67,37,40,82
AL-507,Alabama Balance of State CoC,323,398,190,935,283
AR-500,Little Rock/Central Arkansas CoC,1066,1186,401,859,773
AR-501,Fayetteville/Northwest Arkansas CoC,518,352,157,343,436
AR-503,Arkansas  Balance of State  CoC,811,773,1190,814,871
AR-505,Southeast Arkansas CoC,75,55,67,69,86
AR-508,Fort Smith CoC,247,,324,374,443
AZ-500,Arizona Balance of State CoC,2021,2236,989,2300,2386
AZ-501,Tucson/Pima County CoC,1372,1324,821,2227,2209
AZ-502,"Phoenix, Mesa/Maricopa County CoC",6614,7419,3650,9026,9642
CA-500,San Jose/Santa Clara City & County CoC,9706,9605,2301,10028,9903
CA-501,San Francisco CoC,8035,8124,4000,7754,7582
CA-502,"Oakland, Berkeley/Alameda County CoC",8022,8137,2546,9747,9759
CA-503,Sacramento City & County CoC,5561,5511,1885,9278,9281
CA-504,"Santa Rosa, Petaluma/Sonoma County CoC",2951,2745,787,2893,2266
CA-505,Richmond/Contra Costa County CoC,2295,2277,820,3093,2372
CA-506,"Salinas/Monterey, San Benito Counties CoC",2704,2683,678,2404,2212
CA-507,Marin County CoC,1034,1032,225,1121,1118
CA-508,Watsonville/Santa Cruz City & County CoC,2167,2256,800,2299,1804
CA-509,Mendocino County CoC,785,751,318,830,633
CA-510,"Turlock, Modesto/Stanislaus County CoC",1923,2107,2927,1857,2091
CA-511,Stockton/San Joaquin County CoC,2631,2677,885,2319,2454
CA-512,Daly/San Mateo County CoC,1512,1572,621,1808,1859
CA-513,"Visalia/Kings, Tulare Counties CoC",1064,1297,494,1235,1470
CA-514,Fresno City & County/Madera County CoC,2508,3641,999,4216,4493
CA-515,"Roseville, Rocklin/Placer County CoC",617,744,708,750,709
CA-516,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",1349,1529,792,1837,2521
CA-517,Napa City & County CoC,322,464,200,495,506
CA-518,Vallejo/Solano County CoC,1151,1162,397,1179,1200
CA-519,"Chico, Paradise/Butte County CoC",1266,1274,499,1006,1237
CA-520,Merced City & County CoC,608,636,835,855,784
CA-521,"Davis, Woodland/Yolo County CoC",655,641,373,746,737
CA-522,Humboldt County CoC,1702,1701,272,1648,1656
CA-523,"Colusa, Glenn, Trinity Counties CoC",192,261,140,340,360
CA-524,Yuba City & County/Sutter County CoC,721,721,1074,1094,963
CA-525,El Dorado County CoC,613,663,99,511,491
CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",845,834,151,625,731
CA-527,Tehama County CoC,288,300,267,291,304
CA-529,Lake County CoC,408,357,306,339,460
CA-530,"Alpine, Inyo, Mono Counties CoC",214,184,58,140,88
CA-531,Nevada County CoC,415,387,401,527,492
CA-600,Los Angeles City & County CoC,56257,63706,17225,65111,71320
CA-601,San Diego City and County CoC,8102,7638,4143,8427,10264
CA-602,"Santa Ana, Anaheim/Orange County CoC",6860,6978,2441,5718,6050
CA-603,Santa Maria/Santa Barbara County CoC,1803,1897,500,1962,1887
CA-604,Bakersfield/Kern County CoC,1330,1580,2150,1603,1948
CA-606,Long Beach CoC,1894,2034,603,3296,3447
CA-607,Pasadena CoC,542,527,171,512,556
CA-608,Riverside City & County CoC,2811,2884,998,3316,3725
CA-609,San Bernardino City & County CoC,2607,3125,905,3333,4195
CA-611,"Oxnard, San Buenaventura/Ventura County CoC",1669,1787,949,2248,2441
CA-612,Glendale CoC,243,169,88,225,195
CA-613,Imperial County CoC,1413,1527,140,1057,1303
CA-614,San Luis Obispo County CoC,1483,1423,297,1448,1532
CO-500,Colorado Balance of State CoC,2302,1638,1295,1315,2201
CO-503,Metropolitan Denver CoC,5755,6104,5530,6884,10054
CO-504,Colorado Springs/El Paso County CoC,1562,1339,1156,1406,1302
CO-505,"Fort Collins, Greeley, Loveland/Larimer, Weld Counties CoC",,765,563,792,882
CT-503,"Bridgeport, Stamford, Norwalk, Danbury/Fairfield County CoC",771,697,549,603,597
CT-505,Connecticut Balance of State CoC,2262,2208,2044,2327,2418
DC-500,District of Columbia CoC,6521,6380,5111,4410,4922
DE-500,Delaware Statewide CoC,921,1165,1579,2369,1245
FL-500,"Sarasota, Bradenton/Manatee, Sarasota Counties CoC",1135,1044,526,1138,1150
FL-501,Tampa/Hillsborough County CoC,1650,1452,870,1513,2040
FL-502,"St. Petersburg, Clearwater, Largo/Pinellas County CoC",2415,2226,2307,1985,2144
FL-503,"Lakeland, Winterhaven/Polk County CoC",563,612,385,506,776
FL-504,"Deltona, Daytona Beach/Volusia, Flagler Counties CoC",875,904,694,865,1053
FL-505,"Fort Walton Beach/Okaloosa, Walton Counties CoC",399,351,73,403,395
FL-506,Tallahassee/Leon County CoC,966,805,621,621,801
FL-507,"Orlando/Orange, Osceola, Seminole Counties CoC",2010,2007,1544,2151,2258
FL-508,"Gainesville/Alachua, Putnam Counties CoC",804,880,677,925,1006
FL-509,"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",1499,1379,814,846,925
FL-510,"Jacksonville-Duval, Clay Counties CoC",1654,1366,1222,1279,1247
FL-511,"Pensacola/Escambia, Santa Rosa Counties CoC",518,746,731,727,1180
FL-512,St. Johns County CoC,356,367,420,349,435
FL-513,"Palm Bay, Melbourne/Brevard County CoC",815,940,432,916,1052
FL-514,Ocala/Marion County CoC,475,523,512,455,454
FL-515,"Panama City/Bay, Jackson Counties CoC",488,385,101,378,517
FL-517,"Hendry, Hardee, Highlands Counties CoC",398,403,27,650,1016
FL-518,"Columbia, Hamilton, Lafayette, Suwannee Counties CoC",538,578,69,488,494
FL-519,Pasco County CoC,894,898,857,589,680
FL-520,"Citrus, Hernando, Lake, Sumter Counties CoC",677,703,638,745,649
FL-600,Miami-Dade County CoC,3472,3560,3224,3276,3657
FL-601,Ft Lauderdale/Broward County CoC,2803,2211,2561,2054,2487
FL-602,Punta Gorda/Charlotte County CoC,156,169,154,148,427
FL-603,"Ft Myers, Cape Coral/Lee County CoC",372,444,394,560,862
FL-604,Monroe County CoC,501,421,242,526,493
FL-605,West Palm Beach/Palm Beach County CoC,1397,1510,458,1404,1855
FL-606,Naples/Collier County CoC,498,603,568,462,703
GA-500,Atlanta CoC,3217,3240,1996,2017,2679
GA-501,Georgia Balance of State CoC,4183,4349,1896,5856,6388
GA-502,Fulton County CoC,632,276,81,273,337
GA-503,Athens-Clarke County CoC,237,210,133,283,353
GA-504,Augusta-Richmond County CoC,384,470,144,549,643
GA-505,Columbus-Muscogee CoC,278,249,236,243,274
GA-506,Marietta/Cobb County CoC,451,424,252,380,437
GA-507,Savannah/Chatham County CoC,686,672,548,523,745
GA-508,DeKalb County CoC,375,344,200,565,438
GU-500,Guam CoC,875,790,199,1087,1075
HI-500,Hawaii Balance of State CoC,1995,2010,636,2022,2195
HI-501,Honolulu City and County CoC,4417,4448,1854,3945,4028
IA-500,"Sioux City/Dakota, Woodbury Counties CoC",255,305,233,212,276
IA-501,Iowa Balance of State CoC,1379,1696,1725,1601,1733
IA-502,Des Moines/Polk County CoC,681,646,576,606,644
ID-500,Boise/Ada County CoC,713,647,575,620,687
ID-501,Idaho Balance of State CoC,1602,1668,1314,1378,1611
IL-500,McHenry County CoC,159,155,49,92,125
IL-501,"Rockford/DeKalb, Winnebago, Boone Counties CoC",403,465,287,406,445
